model,DA,RMSE,MAE
Linear Regression (Numerical Only),0.4983388704318937,0.015822895392552147,0.01144731540961764
"ARIMA(1, 0, 1) (Numerical Only)",0.5083056478405316,0.015919257285270397,0.011508943471711303
Random Forest (Numerical Only),0.4717607973421927,0.01658626740402552,0.012208404876877915
Hybrid Regression (Numerical + Sentiment),0.5016611295681063,0.015852837761874614,0.011479228352540918
"ARIMAX(1, 0, 1) (ARIMA + Sentiment)",0.5116279069767442,0.015945331561160903,0.01152384247861519
Random Forest (Numerical + Sentiment),0.5049833887043189,0.016446428286923432,0.012125829637274868
