Date,Close
2018-01-02,40.30417251586914
2018-01-03,40.297157287597656
2018-01-04,40.48433303833008
2018-01-05,40.94525909423828
2018-01-08,40.79317855834961
2018-01-09,40.78850173950195
2018-01-10,40.77913284301758
2018-01-11,41.01077651977539
2018-01-12,41.43426513671875
2018-01-16,41.22368621826172
2018-01-17,41.90455627441406
2018-01-18,41.941978454589844
2018-01-19,41.75481414794922
2018-01-22,41.413204193115234
2018-01-23,41.422576904296875
2018-01-24,40.76276397705078
2018-01-25,40.03510665893555
2018-01-26,40.128700256347656
2018-01-29,39.298095703125
2018-01-30,39.06645965576172
2018-01-31,39.17408752441406
2018-02-01,39.255985260009766
2018-02-02,37.552650451660156
2018-02-05,36.61442947387695
2018-02-06,38.14459991455078
2018-02-07,37.328041076660156
2018-02-08,36.30089569091797
2018-02-09,36.744895935058594
2018-02-12,38.22495651245117
2018-02-13,38.60787582397461
2018-02-14,39.319705963134766
2018-02-15,40.639991760253906
2018-02-16,40.50843811035156
2018-02-20,40.37218475341797
2018-02-21,40.188934326171875
2018-02-22,40.52488708496094
2018-02-23,41.229671478271484
2018-02-26,42.04486083984375
2018-02-27,41.90861129760742
2018-02-28,41.84517288208008
2018-03-01,41.11219024658203
2018-03-02,41.39647674560547
2018-03-05,41.53976058959961
2018-03-06,41.50452423095703
2018-03-07,41.11924743652344
2018-03-08,41.567962646484375
2018-03-09,42.28213882446289
2018-03-12,42.69091033935547
2018-03-13,42.279781341552734
2018-03-14,41.920345306396484
2018-03-15,41.96968460083008
2018-03-16,41.821678161621094
2018-03-19,41.18267059326172
2018-03-20,41.16858673095703
2018-03-21,40.235923767089844
2018-03-22,39.66740417480469
2018-03-23,38.748836517333984
2018-03-26,40.588321685791016
2018-03-27,39.54758834838867
2018-03-28,39.110626220703125
2018-03-29,39.416038513183594
2018-04-02,39.15760803222656
2018-04-03,39.55933380126953
2018-04-04,40.31578826904297
2018-04-05,40.595359802246094
2018-04-06,39.5569953918457
2018-04-09,39.949310302734375
2018-04-10,40.70107650756836
2018-04-11,40.510772705078125
2018-04-12,40.91017532348633
2018-04-13,41.048770904541016
2018-04-16,41.304832458496094
2018-04-17,41.87335968017578
2018-04-18,41.7794075012207
2018-04-19,40.595359802246094
2018-04-20,38.93207931518555
2018-04-23,38.819313049316406
2018-04-24,38.27898025512695
2018-04-25,38.445777893066406
2018-04-26,38.57968521118164
2018-04-27,38.133323669433594
2018-04-30,38.82401657104492
2018-05-01,39.726131439208984
2018-05-02,41.48103332519531
2018-05-03,41.556209564208984
2018-05-04,43.18659973144531
2018-05-07,43.49905776977539
2018-05-08,43.70814514160156
2018-05-09,44.01588821411133
2018-05-10,44.645503997802734
2018-05-11,44.47569274902344
2018-05-14,44.371925354003906
2018-05-15,43.96866989135742
2018-05-16,44.37900161743164
2018-05-17,44.09836959838867
2018-05-18,43.9379997253418
2018-05-21,44.24931335449219
2018-05-22,44.13846206665039
2018-05-23,44.42145919799805
2018-05-24,44.371925354003906
2018-05-25,44.473331451416016
2018-05-29,44.31297302246094
2018-05-30,44.2186393737793
2018-05-31,44.070064544677734
2018-06-01,44.864830017089844
2018-06-04,45.23979949951172
2018-06-05,45.58882522583008
2018-06-06,45.74684143066406
2018-06-07,45.624210357666016
2018-06-08,45.20914077758789
2018-06-11,45.09829330444336
2018-06-12,45.34592819213867
2018-06-13,44.973304748535156
2018-06-14,44.99689865112305
