Date,polarity,volatility
2018-01-02,0.9498793482780457,0.0
2018-01-03,0.0,0.6716661284764643
2018-01-04,0.0,0.548413097425996
2018-01-05,0.833530604839325,0.5170126627299729
2018-01-08,-0.9719398617744446,0.7762110535425019
2018-01-09,0.0,0.6394546386626793
2018-01-10,0.0,0.6394546386626793
2018-01-11,-0.7862299680709839,0.7222545236131893
2018-01-12,0.9456790089607239,0.7624147786447322
2018-01-16,0.9560228586196899,0.7378330680387952
2018-01-17,0.9506736993789673,0.7868346415249702
2018-01-18,0.0,0.7868346415249702
2018-01-19,0.0,0.5207829926864502
2018-01-22,0.0,0.5221737823841477
2018-01-23,-0.9743914604187012,0.6806443076949282
2018-01-24,0.0,0.4357611084383022
2018-01-25,0.0,0.4357611084383022
2018-01-26,-0.9767235517501831,0.5343354883727601
2018-01-29,0.9272764325141907,0.7990025202617883
2018-01-30,0.0,0.6733018408038829
2018-01-31,0.0,0.6733018408038829
2018-02-01,0.0,0.6733018408038829
2018-02-02,0.0,0.4146906274070453
2018-02-05,0.0,0.0
2018-02-06,0.9373981356620789,0.41921719066439567
2018-02-07,0.0,0.41921719066439567
2018-02-08,0.957751452922821,0.5190579730858137
2018-02-09,0.0,0.5190579730858137
2018-02-12,0.0,0.5190579730858137
2018-02-13,-0.9756126999855042,0.6835649532267312
2018-02-14,0.0,0.6835649532267312
2018-02-15,0.0,0.43630726337593884
2018-02-16,0.6710288524627686,0.5881210753697222
2018-02-20,0.0,0.5881210753697222
2018-02-21,0.0,0.3000932257940854
2018-02-22,0.8489747047424316,0.4209975081121937
2018-02-23,0.9017928838729858,0.4503466928739907
2018-02-26,0.0,0.4798309662858387
2018-02-27,0.0,0.4798309662858387
2018-02-28,0.9526712894439697,0.49493804838249505
2018-03-01,0.0,0.5081843949570777
2018-03-02,0.9478195905685425,0.520473689295196
2018-03-05,0.9505664110183716,0.5205323064913049
2018-03-06,0.0,0.5205323064913049
2018-03-07,0.0,0.5198953249976472
2018-03-08,0.0,0.5198953249976472
2018-03-09,-0.9347909092903137,0.6665884736021926
2018-03-12,0.5704023241996765,0.5414418360625941
2018-03-13,0.0,0.5414418360625941
2018-03-14,0.9475617408752441,0.7122232659758405
2018-03-15,-0.9352290630340576,0.8583313515613363
2018-03-16,0.9245227575302124,0.7902946607121141
2018-03-19,0.0,0.7828999554458356
2018-03-20,0.0,0.7828999554458356
2018-03-21,0.0,0.6575280991218778
2018-03-22,0.0,0.4134591465166219
2018-03-23,0.0,0.0
2018-03-26,0.0,0.0
2018-03-27,0.0,0.0
2018-03-28,0.0,0.0
2018-03-29,0.0,0.0
2018-04-02,0.0,0.0
2018-04-03,-0.9747570157051086,0.43592458973229026
2018-04-04,0.9577292799949646,0.6832529957251046
2018-04-05,-0.8837915062904358,0.7883826765387192
2018-04-06,0.0,0.7883826765387192
2018-04-09,0.9195268154144287,0.9346046770724391
2018-04-10,0.0,0.7659092613766874
2018-04-11,-0.9634896516799927,0.7718133964446081
2018-04-12,0.0,0.665855713906198
2018-04-13,0.0,0.665855713906198
2018-04-16,0.0,0.4308856713548111
2018-04-17,0.9541093707084656,0.6779785030209136
2018-04-18,0.9582210183143616,0.5237152632531049
2018-04-19,0.0,0.5237152632531049
2018-04-20,-0.9757693409919739,0.8070329452220796
2018-04-23,0.9435412287712097,0.8608064756634982
2018-04-24,0.9469501376152039,0.8596096223409239
2018-04-25,0.803800642490387,0.8358441632866755
2018-04-26,0.0,0.8358441632866755
2018-04-27,0.0,0.4952873409872849
2018-04-30,0.0,0.48212663719953947
2018-05-01,0.8160461783409119,0.44363444790201795
2018-05-02,0.0,0.3649469455098389
2018-05-03,0.0,0.3649469455098389
2018-05-04,0.9294923543930054,0.4797151363590908
2018-05-07,-0.9580196738243103,0.7621764734736043
2018-05-08,0.7863718271255493,0.7558559259603973
2018-05-09,0.0,0.7558559259603973
2018-05-10,0.7675513625144958,0.79434044413182
2018-05-11,0.0,0.7166409910123689
2018-05-14,0.9541842937469482,0.4636439316392564
2018-05-15,0.0,0.4761113384815617
2018-05-16,-0.9764291048049927,0.7651666789191619
2018-05-17,0.9439401030540466,0.8038967500618172
2018-05-18,0.0,0.8038967500618172
2018-05-21,0.9380391240119934,0.800054671296867
2018-05-22,-0.9197759032249451,0.9447620534591776
2018-05-23,0.0,0.7797052297506355
2018-05-24,-0.9728409647941589,0.7889995119202132
2018-05-25,0.0,0.7889995119202132
2018-05-29,0.0,0.5186539147429629
2018-05-30,0.9269749522209167,0.6718037969907444
2018-05-31,0.0,0.6718037969907444
2018-06-01,0.7486491799354553,0.46319944683959874
2018-06-04,0.9395360350608826,0.48339258832779197
